,MIGUEL (V.O.),MIGUEL,MAMÁ COCO,ABUELITA,MUSICIANS,MIGUEL (V.O),MAMÁ,WOMAN,STREET VENDOR,TOUR GUIDE,DE LA CRUZ,DE LA CRUZ (CONT'D),MIGUEL (CONT'D),PLAZA MARIACHI,PLAZA MARIACHI (CONT'D),ABUELITA (O.S.),TÍO BERTO,PAPÁ,PAPÁ FRANCO,PRIMA ROSA,PRIMO ABEL,ABUELITA (CONT'D),MAMÁ COCO (CONT'D),DE LA CRUZ (FILM CLIP),NUN (FILM CLIP),LOLA (FILM CLIP),INTERVIEWER (FILM CLIP),MAMÁ (CONT'D),TÍA GLORIA,STAGE MANAGER,MUSICIAN #1,MUSICIAN #2,MUSICIAN #3,VOICES (O.S.),GROUNDSKEEPER,WOMAN (CONT'D),SKELETON HEAD,SKELETON ABUELA,PAPÁ JULIO,TÍA ROSITA,TÍA VICTORIA,PAPÁ JULIO (CONT'D),TÍO FELIPE,TÍO OSCAR,SKELETON MOTHER,CANNED LOOP (V.O.),ARRIVALS AGENT,TRAVELER,DEPARTURES AGENT,DEPARTURES AGENT (CONT'D),ELDERLY COUPLE,JUAN ORTODONCIA,HÉCTOR,OFFICER,ARRIVALS AGENT (O.S.),VOICE OVER P.A.,DISTRESSED TRAVELER,MIFFED WIFE,MAMÁ IMELDA,CASE WORKER,CLERK,MAMÁ IMELDA (CONT'D),PATROLWOMAN,PATROLMAN,CORRECTIONS OFFICER,HÉCTOR (CONT'D),CECILIA,FRIDA,FRIDA (CONT'D),GUSTAVO,RATTY GROUP,RATTY MEMBER,TÍA CHELO,OLD TIAS,CHICHARRÓN,VENDOR,EMCEE,EMCEE (CONT'D),SKELETON MUSICIAN,OPERA SINGERS,STAGEHAND,CROWD,EMCEE (O.S.),AUDIENCE MEMBER (O.S.),TÍO FELIPE/TÍO OSCAR,AUDIENCE,CROWD MEMBERS,SECURITY GUARD,GUEST,BAND LEADER,BAND MEMBER #2,MIGUEL & DE LA CRUZ,DON HIDALGO (FILM CLIP),HÉCTOR (O.S.),YOUNG DE LA CRUZ,YOUNG HÉCTOR,YOUNG DE LA CRUZ (CONT'D),HÉCTOR (V.O.),DANTE (O.S),DANTE (O.S.),FAMILY,ANNOUNCER (O.S.),CROWD MEMBER,MIGUEL (O.S.),DE LA CRUZ/MAMÁ IMELDA,TÍO OSCAR/TÍO FELIPE,AUDIENCE MEMBER,PAPÁ (O.S.),TOUR GUIDE (O.S.),TOUR GUIDE (CONT'D)
10,She could have made candy!,"Hey, hey!    Dante!",Papá!,What did he say to you?, , , , , , ,"He's alive! And a musician to
boot!", ,"Our family thinks music is a curse.
None of them understand, but I know
you would have. You would've told
me to follow my heart. To seize my
moment!", , , , ,"You are a Rivera. And a Rivera
is...?", , , , , ,"I had to have faith in my dream.
No one was going to hand it to me.
It was up to me to reach for that
dream, grab it tight, and make it
come true.", , , , , , , , , , , , , , ,Híjole!   Your hand!,Be reasonable., , , , , , , , , , , , ,"I've just had a really hard Día de
Muertos, and I could really use an
amigo right now.", , , , , ,You took my photo off the ofrenda?!, ,"Cempasúchil, cempasúchil.        Aha!
Perdón, señora.", , , , ,Stop it!, ,"The dancers exit, the music fades,
the lights go out! And Ernesto de
la Cruz rises to the stage!", , , , , , ,You play me something., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11,Or fireworks!,"Sit. Down. Roll over.        Shake.
Fist bump.", ,"My grandson is a sweet little
angelito querido cielito -- he
wants no part of your music,
mariachi! You keep away from him!", , , , , , ,No dimple!, ,"So if it's all right with you, I'm
gonna play in the plaza, just like
you did!", , , , ,That's my boy!, , , , , ,"When you see your moment, you
mustn't let it pass you by. You
must seize it.", , , , , , , , , , , , , , ,"Whoa, Miguel. Can't have you
fainting on us.",A footprint!, , , , , , , , , , , , ,"I'll -- I'll get you backstage, you
can meet him!", , , , , ,How do we send him back?!, ,"Now, you look at the living and say
his name.", , , , ,"Keep up, chamaco, come on!", ,"He does a couple of songs, the sun
rises, everyone cheers--", , , , , , ,"You want it, you got to earn it...", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12,Or sparkly underwear for wrestlers!,"Good boy, Dante!", ,"Ay, pobrecito! Estás bien, mijo?", , , , , , ,"You know, I did all my own stunts.", ,"You gotta stay with me, boy.       We
don't know... where...", , , , ,"Berto, break out the good stuff, I
wanna make a toast!", , , , , ,"We're almost there, Dante.", , , , , , , , , , , , , , ,Here!,Have you seen a living boy?, , , , , , , , , , , , ,"You just gotta let me cross that
bridge!", , , , , ,Miguel., ,"Nailed it.     Now say: I give you my
blessing.", , , , ,...KNUCKLES THEY DRAG ON THE FLOOR., ,"Ernesto doesn't do rehearsals.
He's too busy hosting that fancy
party at the top of his tower.", , , , , , ,"You know my favorite, Héctor.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
13,But no... she chose shoes...,Huh?, ,"You know better than to be here in
this place! You will come home.
Now.", , , , , , ,"All of this came from my amazing
fans in the Land of the Living!
They leave me more offerings than I
know what to do with!", ,"Tía Rosita? Oscar? Felipe?       Tía
Victoria?", , , , ,What are you talking about?, , , , , ,"You must have faith, sister.", , , , , , , , , , , , , , ,Nice alebrije...,HECTOR                               MIGUEL, , , , , , , , , , , , ,Can I at least get my costume back?, , , , , ,I give you my blessing., ,"Well technically she can add any
conditions she wants.", , , , ,"Hey, it happens to everyone
eventually.", , , , , , , , ,Those aren't the words!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
14,"Then she taught her daughter to
make shoes. And later, she taught
her son-in-law.","Oh, yeah, sorry.", ,"Go away, you! Go!", , , , , , ,"Hey, what's wrong? Is it too much?
You look overwhelmed...", ,He's family..., , , , ,"We've never known anything about
this man. But whoever he was, he
still abandoned his family. This
is no future for my son.", , , , , ,He will listen... to MUSIC!, , , , , , , , , , , , , , ,It's a Rivera boot!, , , , , , , , , , , , , ,Some amigo..., , , , , ,"Two seconds and you already break
your promise!", ,Then you hand the petal to Miguel., , , , ,"C'mon ""de la Cruzcito."" You've got
a contest to win.", , , , , , , , ,Brings back memories.     Gracias..., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
15,"Then her grandkids got roped in.
As her family grew, so did the
business.","I just can't really talk about any
of this at home so...", ,"Never name a street dog.         They'll
follow you forever.", , , , , , ,But...?, ,"Yeah I'm alive. And if I wanna get
back to the Land of the Living, I
need de la Cruz's blessing.", , , , ,"You will listen to your family.    No
more music.", , , , , , , , , , , , , , , , , , , , ,"Look, there they are!", , , , , , , , , , , , , ,Who wants to--, , , , , ,"Don't make this hard, mijo.      You go
home my way, or no way.", ,"Uh, should we tell him there are no
restrooms in the Land of the Dead?", , , , ,I'll go up there--, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
16,"Music had torn her family apart,
but shoes held them all together.",I could never say that..., ,"Now, go get my shoe.", , , , , , ,"It was hard. Saying goodbye to my
hometown. Heading off on my own...", ,"Oh! And then it could go dittle-
ittle-dittle-ittle-dittle-ittle-
dittle-ittle -- WHAAA!", , , , ,End of argument., , , , , , , , , , , , , , , , , , , , ,Give it to Miguel., , , , , , , , , , , , , ,Ah! You're alive!, , , , , ,"I will not let you go down the same
path he did.", , , , , , ,"First you have to loosen up.     Shake
off those nerves! Sáquenlo
sáquenlo, sáquenlo!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
17,"You see, that woman was my great-
great grandmother, Mamá Imelda.","I don't know. I mean... I only
really play for myself--", ,I found your son in Mariachi Plaza!, , , , , , ,"Sí. But I could not have done it
differently.", ,You know where I can get a guitar?, , , , ,Mamá..., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,That's weirdly specific., , , , , ,Miguel!, , , , , , ,Now gimme your best grito!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18,"She died WAY before I was born.
But my family still tells her story
every year on Día de los Muertos --
the Day of the Dead...","Uh-uh, my family would freak!", ,"It's Día de los Muertos -- no one's
going anywhere. Tonight is about
family.", , , , , , ,"One cannot deny who one is meant to
be. And you, my great-great
grandson, are meant to be a
musician!", ,"YOU MAKE ME UN POCO LOCO
UN POQUI-TI-TI-TO LOCO
THE WAY YOU KEEP ME GUESSING
I'M NODDING AND I'M YES-ING
I'LL COUNT IT AS A BLESSING
THAT I'M ONLY UN POCO LOCO...", , , , ,Miguel!   MIGUEL!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,He's your wha-whaat...?, , , , , ,"Ay, he is going to get himself
killed... I need my spirit guide,
Pepita.", , , , , , ,"You can do this. Grab their
attention and don't let it go!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
19,And her little girl?,...Seize your moment?, ,Ofrenda room. Vámonos., , , , , , ,"Soon, the party will move across
town for my ""Sunrise Spectacular!""", ,"No, Dante!     Stop it! He can't help
me!", , , , ,Miguel!   Come home!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"No, niño, niño, niño, I can help
you! You can help me. We can help
each other! But most importantly,
you can help ME.", , , , , ,Who has that petal Miguel touched?, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20,"She's my great grandmother, Mamá
Coco.",Abuelita!, ,"Don't give me that look. Día de
los Muertos is the one night of the
year our ancestors can come visit
us.", , , , , , ,"Miguel, you must come to the show!
You will be my guest of honor!", ,"Dante, stop! Stop it! Leave me
alone! You're not a spirit guide,
you're just a dumb dog! Now get
out of here!", , , , ,"Where are you, Miguel?!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,I'm Héctor., , , , , ,"Have you found him, Pepita?      Have
you found our boy?", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21,"Actually, my name is Miguel. Mamá
Coco has trouble remembering
things... But it's good to talk to
her anyway. So I tell her pretty
much everything.",Um...uh..., ,"We've put their photos on the
ofrenda so their spirits can cross
over. That is very important! If
we don't put them up, they can't
come!", , , , , , ,"Of course, my boy!", ,"The rest of our family, they
wouldn't listen. But I... I hoped
you would?", , , , ,What's gotten into you?, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Espérame chamaco!, , , , , ,Miguel., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
22,"My Abuelita? She's Mamá Coco's
daughter.","He was just showing me his
guitar...", ,"We made all this food -- set out
the things they loved in life,
mijo. All this work to bring the
family together. I don't want you
sneaking off to who-knows-where.", , , , , , ,"Oh, I really do need to get you
home.", ,"You should be the one the world
remembers, not de la Cruz!", , , , ,"I thought I'd lost you, Migue...", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Hey, hey, hold still.", , , , , ,He's close. Find him., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
23,"Abuelita runs our house just like
Mamá Imelda did.","Yes, Tío Berto.", ,"Ay, Dios mío... Being part of this
family means being HERE for this
family... I don't want to see you
end up like--", , , , , , ,"Who are you? What is the meaning
of this?", ,"I'm proud to be his family!
TRRRRRAI-HAY-HAY-HAY-HAAAY!", , , , ,"Mamá, wait--", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Look up. Look up. A ver, a ver...
look up. Up, UP!... Ta-da!", , , , , ,"This nonsense ends now, Miguel! I
am giving you my blessing and you
are going home!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
24,And my family's fine with that...,"No, no, no!", ,"Never mention that man!      He's
better off forgotten.", , , , , , ,"You know this, uh... man?", ,"I'm ready to accept your
blessing... and your conditions.
But first, I need to find de la
Cruz. To get Héctor's photo.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,No one's ever put up my picture..., , , , , ,Miguel!   Stop!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
25,But me?,It's just Dante..., ,"Ta, ta, ta-tch!", , , , , , ,Hé-- Héctor?, ,SING!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,But you can change that!, , , , , ,What?, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
26,"I am NOT like the rest of my
family...",I was just shining shoes!, ,Tch-tch!, , , , , , ,"My friend... you're being
forgotten...", ,"I saw your papá. Remember? Papá?
Please -- if you forget him, he'll
be gone... forever!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Muy guapo, eh?", , , , , ,"Y AUNQUE LA VIDA ME CUESTE,
LLORONA... NO DEJARÉ DE QUERERTE...", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
27,"He started out a total nobody from
Santa Cecilia, like me. But when
he played music, he made people
fall in love with him.","But the plaza's where all the foot
traffic is.", ,Tch!, , , , , , ,"Héctor, please--", ,"Papá, remember? Papá?", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Such a smart boy! Yes! Great
idea, yes!", , , , , ,"Oh, I loved it.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
28,"He starred in movies. He had the
coolest guitar... He could fly!",But what about tonight?, ,Tch-tch!, , , , , , ,"Héctor, I never meant to take
credit.", ,"REMEMBER ME
THOUGH I HAVE TO TRAVEL FAR", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"One hiccup: de la Cruz is a tough
guy to get to. And I need to cross
that bridge soon. Like TONIGHT.", , , , , ,"I remember that feeling, when my
husband would play, and I would
sing and nothing else mattered.
But when we had Coco, suddenly...
there was something in my life that
mattered more than music. I wanted
to put down roots. He wanted to
play for the world.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
29,"And he wrote the best songs! But
my all-time favorite? It's--","Well they're having this talent
show-", ,"Mamá, cálmese, cálmese.", , , , , , ,Héctor..., ,"...And there's Tía Rosita... and
your Tía Victoria... and those two
are Oscar and Felipe. These aren't
just old pictures -- they're our
family -- and they're counting on
us to remember them.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"So, you got any other family here,
you know? Someone a bit more...
accessible?", , , , , ,Héctor., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30,"He lived the kind of life you dream
about... Until 1942...",And I thought I might..., ,"No Mamá.   It's okay, I'm here.", , , , , , ,That was a long time ago., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Don't yank my chain, chamaco.      You
gotta have SOME other family.", , , , , ,"Mijo, I was so worried! Thank
goodness we found you in time!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,"When he was crushed by a giant
bell.","Well, maybe?", ,"Rest, Mamá.", , , , , , ,"Have him taken care of.      He's not
well.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Okay, okay, kid, fine -- fine!
I'll get you to your great-great
grandpa...!", , , , , ,"And you! How many times must I
turn you away?", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
32,"Sometimes, I look at de la Cruz and
I get this feeling... like we're
connected somehow. Like, if HE
could play music, maybe someday I
could too...",I thought we were done..., ,Día de los Muertos has begun!, , , , , , ,I apologize. Where were we?, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"No, skeletons don't walk like that.", , , , , ,"I want nothing to do with you. Not
in life, not in death!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
33, ,Like Mamá Coco's papá?, ,"In the courtyard, mijos.", , , , , , ,Yes.   Uh... sí., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"No, I don't.", , , , , ,"I spent decades protecting my
family from your mistakes. He
spends five minutes with you and I
have to fish him out of a sinkhole!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
34, ,But you're the one who--, ,Sí.   Next to the other one., , , , , , ,"Miguel, my reputation, it is very
important to me. I would hate to
have you think...", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Blech. Every year, your great-
great grandpa puts on that dumb
show to mark the end of Día de
Muertos.", , , , , ,What?, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
35, ,I was just--, ,"Our Migueli-ti-ti-ti-to carrying on
the family tradition! And on Día
de los Muertos! Your ancestors
will be so proud!", , , , , , ,You don't think that.     Do you?, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Ahhhh--, , , , , ,He left this family!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
36, ,But--, ,"What is all this? You keep secrets
from your own family?", , , , , , ,Security!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"That... that was a lie.      I
apologize for that.", , , , , ,"And so what if it's true? You
leave me alone with a child to
raise and I'm just supposed to
forgive you?", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
37, ,I--, ,"Never!    That man's music was a
curse!    I will not allow it!", , , , , , ,And Héctor was my best friend., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Cool off, chamaco, come on... I'll
get you to him.", , , , , ,She's forgetting you..., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
38, ,"Oh, it's you. Get in here, c'mon,
Dante. Hurry up.", ,"You want to end up like that man?
Forgotten? Left off your family's
ofrenda?!", , , , , , ,"Success doesn't come     for free,
Miguel. You have to      be willing to
do whatever it takes     to... seize
your moment. I know      you
understand.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"'Cause I happen to know where he's
rehearsing!", , , , , ,"I wanted to forget you. I wanted
Coco to forget you too, but--", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
39, ,...and make it come true., ,"There. No guitar, no music.", , , , , , ,Yes?, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Hola, Ceci!", , , , , ,"Miguel, if we help you get his
photo... you will return home?          No
more music?", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
40, ,"No more hiding, Dante.      I gotta
seize my moment!", ,Where have you been?!, , , , , , ,Don't I know you?, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Ceci, I lost the dress--", , , , , ,"I -- I can't forgive you.        But I
will help you.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41, ,"Get under, get under!", ,"What are you doing with that?     Give
it to me!", , , , , , ,Who the?, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Ceci -- I know, Ceci. I know, I
know. Ceci -- Ceci... Ceci.
Ceci...", , , , , ,So how do we get to de la Cruz?, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
42, ,Nothing!, ,"Miguel!   Stop! Miguel!      Miguel!
Miguel!   MIGUEL!", , , , , , ,Héctor?!    How did you--, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Chamaco! You can't run off on me
like that! C'mon, stop pestering
the celebrities...", , , , , ,Send Miguel home., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
43, ,What?!, ,"What are you doing to that poor
woman?", , , , , , ,Grandson?, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"That bum! Who doesn't show up to
his own rehearsal?", , , , , ,"Now, we just have to find de la
Cruz--", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
44, ,"But what if I'm no good at making
shoes?", ,"It's okay, Mamita, it's okay.", , , , , , ,"You! Wait, you're related to
Héctor?", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"He's YOUR great-great grandpa.   How
come he didn't invite YOU?", , , , , ,Ah!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
45, ,"...A shoemaker. Through and
through.", ,"It's okay, mamita.", , , , , , ,Security!     Ayúdenme!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Hey Gustavo! You know anything
about this party?", , , , , ,"That's for murdering the love of my
life!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
46, ,"Dante!   No, Dante, stop!", ,"Miguel, you apologize to your Mamá
Coco!", , , , , , ,Get her off the stage!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Ha ha, very funny guys.      Very
funny.", , , , , ,"I don't know! I'm still angry at
you.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
47, ,De la Cruz's guitar...?, ,Well?   Apologize., , , , , , ,"Y AUNQUE LA VIDA ME CUESTE, LLORONA,
NO DEJARÉ DE QUERERTE.
NO DEJARÉ DE QUERERTE!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,I don't want to talk about it., , , , , ,"And that's for trying to murder my
grandson!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
48, ,"Mamá Coco, is your papá... Ernesto
de la Cruz?", ,Nothing Mamá. Nothing at all., , , , , , ,"NO DEJARÉ DE QUERERTE!
...AY, AY, AY!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"I didn't choke, okay -- I got food
poisoning, which is a big
difference!", , , , , ,After him!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
49, ,"Ha, ha!", , , , , , , , ,You're not going anywhere!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"This is why I don't like
musicians... bunch of self-
important jerks!", , , , , ,I don't know WHAT I said!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
50, ,Papá!   Papá!, , , , , , , , ,Stay back!     Stay back.   All of you!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,You are?, , , , , ,Miguel!   I have it!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
51, ,"Mamá Coco's father was Ernesto de
la Cruz!", , , , , , , , ,Stay back!     Not one more step., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"No, no, no, chamaco, you are loco
if you think--", , , , , ,"AY DE MÍ, LLORONA
LLORONA DE AZUL CELESTE...", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
52, ,I'm gonna be a musician!, , , , , , , , ,"I've worked too hard, Héctor...
Too hard to let him destroy
everything...", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,I know a guy..., , , , , ,"AY DE MÍ, LLORONA
LLORONA DE AZUL CELESTE...", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
53, ,It's not a fantasy!, , , , , , , , ,He's a threat!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Why the heck would you wanna be a
musician?", , , , , ,"Y AUNQUE LA VIDA ME CUESTE, LLORONA,
NO DEJARÉ DE QUERERTE.
NO DEJARÉ DE QUERERTE!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
54, ,"But Papá, you said my family would
guide me! Well de la Cruz IS my
family! I'm supposed to play
music!", , , , , , , , ,"You think I'd let him go back to
the land of the living with your
photo? To keep your memory alive?", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"...Who spent his life performing
like a monkey for complete
strangers. Blech, no, no thank
you, guácala, no...", , , , , ,"ME SUBÍ AL PINO MÁS ALTO, LLORONA,
A VER SI TE DIVISABA.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
55, ,If you would just let--, , , , , , , , ,No., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,We're almost there..., , , , , ,"COMO EL PINO ERA TIERNO, LLORONA
AL VERME LLORAR, LLORABA.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
56, ,Just listen to me play--, , , , , , , , ,"I am Ernesto de la Cruz, the
greatest musician of all time!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Eh!   These guys!, , , , , ,Let go of me!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
57, ,"I don't care if I'm on some stupid
ofrenda!", , , , , , , , ,"I am the one who is willing to do
what it takes to seize my moment...", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Hey Tío!   Qué onda!, , , , , ,I forgot what that felt like., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
58, ,No!, , , , , , , , ,Whatever it takes., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Eh, in a way... We're all the ones
with no photos or ofrendas, no
family to go home to. Nearly
forgotten, you know?", , , , , ,Oh!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
59, ,I don't wanna be in this family!, , , , , , , , ,"Apologies old friend, but the show
must go on...", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"So, we all call each other cousin,
or tío, or whatever.", , , , , ,"Miguel, I give you my blessing.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
60, ,"I wanna play in the plaza. Like de
la Cruz! Can I still sign-up?", , , , , , , , ,Ha ha!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Tía Chelo!     He-hey!, , , , , ,"To never... forget how much your
family loves you.", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
61, ,No... But if I can borrow a guitar--, , , , , , , , ,"Please, please, mi familia...", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Hey, hey! Save some for me!      Is
Chicharrón around?", , , , , ,Miguel!, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
62, ,"Excuse me, can I borrow your
guitar?", , , , , , , , ,Orchestra!     A-one-A-two-A-one--, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"Who doesn't like a visit from
Cousin Héctor?", , , , , ,"Miguel, it's almost sunrise!", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
